#put your comments after a '#'.
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms      alpha          n       Mean      sigma          N
          0          0        100        100          5      1.427      37.27     0.9984     0.1527      802.6
          0         20         -3      -1.56          5      1.182      4.724      1.012    0.04408      277.5
          0         20      -1.56       1.56          5     0.8629       9.48      1.006    0.03891      856.9
          0         20       1.56          3          5      1.066      5.868      1.013    0.04236      281.3
         20        105         -3       -2.6          5      1.034       1.81      1.002    0.02091        873
         20        105        2.6          3          5     0.9185      2.062      1.003    0.01896      933.6
         20        105       -2.6       -2.5          5      1.374      2.049      1.003    0.02067      324.5
         20        105        2.5        2.6          5      1.452      1.831      1.003    0.02106      305.9
         20         25       -2.5      -1.56          5      1.203      3.574      1.012    0.03719      200.4
         20         25       1.56        2.5          5      1.154       4.07      1.012    0.03852        184
         25         30       -2.5      -1.56          5      1.275      3.212      1.014    0.03516      250.1
         25         30       1.56        2.5          5      1.364      2.635      1.013     0.0346      254.5
         30         35       -2.5      -1.56          5      1.312      3.721      1.013    0.03142      337.5
         30         35       1.56        2.5          5      1.126       4.61      1.013    0.03091      335.7
         35       42.5       -2.5      -1.56          5      1.229      3.963      1.013    0.02901      670.6
         35       42.5       1.56        2.5          5      1.223      3.505      1.013    0.02838      664.5
       42.5         50       -2.5      -1.56          5      1.313      3.217      1.012    0.02744      595.1
       42.5         50       1.56        2.5          5      1.426      2.752      1.013    0.02706      617.2
         50         65       -2.5      -1.56          5      1.274      2.696      1.013    0.02583      250.1
         50         65       1.56        2.5          5      1.511      2.144      1.013     0.0251      263.6
         65        105       -2.5      -1.56          5      1.894          1      1.011    0.02517         91
         65        105       1.56        2.5          5      1.765      1.426      1.012    0.02323      99.55
         20         30     -1.442         -1          5     0.7927         10      1.003    0.03784      209.1
         20         25         -1          1          5      1.121      3.669      1.002    0.02581      711.7
         25         30         -1          1          5      1.153      3.672      1.001    0.02236        926
         20         30          1      1.442          5     0.8429         10          1     0.0389      205.1
         30         35     -1.442         -1          5     0.7716         10      1.004     0.0295      165.8
         30       32.5         -1          1          5      1.368      2.808     0.9995    0.02145      542.8
       32.5         35         -1          1          5      1.264      3.816     0.9992    0.02105      608.9
         30         35          1      1.442          5      1.022      5.409     0.9987    0.03434      143.1
         35       42.5     -1.442         -1          5      0.834         10      1.002    0.02716      332.2
         35       42.5         -1          1          5      1.414      2.537     0.9988    0.01964       2292
         35       42.5          1      1.442          5     0.7341      7.842      1.005    0.02615      335.7
       42.5         50     -1.442         -1          5     0.8082      8.258      1.003    0.02569      295.1
       42.5         50         -1          1          5      1.546      2.142     0.9974    0.01894       1968
       42.5         50          1      1.442          5     0.9129      5.733      1.002     0.0257      297.4
         50         60     -1.442      1.442          5      1.426      2.424     0.9985    0.01978      969.5
         60        105     -1.442      1.442          5      1.731      1.729     0.9967    0.01889      685.7
