#put your comments after a '#'.
#efficiency name: ElectronId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -2.5         -2          4      0.977     0.9779     0.9761     1500.1
         20        120         -2       -1.5          4     0.9629     0.9637     0.9622     1638.3
         20        120       -1.5         -1          4     0.9708     0.9716     0.9701     2196.4
         20        120         -1       -0.5          4     0.9519     0.9526     0.9513     2894.6
         20        120       -0.5          0          4     0.9258     0.9264     0.9252       3018
         20        120          0        0.5          4     0.9418     0.9425     0.9412     3084.7
         20        120        0.5          1          4     0.9653      0.966     0.9645     2764.6
         20        120          1        1.5          4     0.9708     0.9716       0.97     2263.3
         20        120        1.5          2          4     0.9651     0.9664     0.9637     1761.6
         20        120          2        2.5          4     0.9733     0.9741     0.9726       1583
