#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -2.5         -2          4     0.9644     0.9661     0.9626       1604
         20        120         -2       -1.5          4     0.9698     0.9715     0.9681     1758.7
         20        120       -1.5         -1          4     0.9777     0.9794      0.976       2261
         20        120         -1       -0.5          4     0.9886       0.99     0.9872     2967.7
         20        120       -0.5          0          4     0.9782     0.9796     0.9767     3103.7
         20        120          0        0.5          4     0.9887     0.9902     0.9872     3140.8
         20        120        0.5          1          4     0.9805      0.982      0.979     2844.5
         20        120          1        1.5          4     0.9857     0.9873     0.9841     2326.5
         20        120        1.5          2          4     0.9789     0.9805     0.9772     1879.6
         20        120          2        2.5          4     0.9441     0.9457     0.9425     1721.2
