#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.9622     0.9664      0.958     683.18
         30         35       -2.5       -1.5          4     0.9876     0.9914     0.9838     477.12
         35         40       -2.5       -1.5          4     0.9531      0.955     0.9511      630.6
         40         50       -2.5       -1.5          4     0.9667     0.9682     0.9654     1191.5
         50        500       -2.5       -1.5          4     0.9624     0.9661     0.9587     369.88
         20         30       -1.5          0          4     0.9461     0.9494     0.9428     1337.6
         30         35       -1.5          0          4     0.9858     0.9887      0.983     1101.1
         35         40       -1.5          0          4     0.9872     0.9889     0.9856     1542.7
         40         50       -1.5          0          4      0.983      0.984     0.9819     3065.3
         50        500       -1.5          0          4     0.9961     0.9992     0.9931     1154.5
         20         30          0        1.5          4     0.9659     0.9695     0.9624     1302.6
         30         35          0        1.5          4     0.9713     0.9737      0.969     1205.6
         35         40          0        1.5          4     0.9819     0.9836     0.9802       1521
         40         50          0        1.5          4     0.9901     0.9913     0.9889     3025.8
         50        500          0        1.5          4     0.9891      0.992     0.9862     1065.6
         20         30        1.5        2.5          4     0.9514     0.9553     0.9474     756.72
         30         35        1.5        2.5          4     0.9701     0.9727     0.9676     597.97
         35         40        1.5        2.5          4     0.9578     0.9599     0.9558     646.12
         40         50        1.5        2.5          4     0.9616     0.9632     0.9599       1170
         50        500        1.5        2.5          4     0.9727     0.9757     0.9698     401.96
