#put your comments after a '#'.
#efficiency name: HFEId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -4.6         -4          4     0.5787     0.5967     0.5618     138.11
         20         30         -4       -3.4          4     0.7621     0.7937      0.733     162.43
         30        120         -4       -3.4          4     0.6927     0.7043     0.6813     283.46
         20         30       -3.4       -3.1          4     0.6529     0.6804     0.6276     140.39
         30        120       -3.4       -3.1          4      0.892     0.9068     0.8777     310.88
 #        20         30       -3.1        3.1          4       0.44          1  1.235e-10  5.421e-10
  #       30        120       -3.1        3.1          4        0.9          1  7.071e-08 1.2387e-07
         20         30        3.1        3.4          4     0.9279     0.9816     0.8797     108.15
         30        120        3.1        3.4          4     0.8553      0.873     0.8382     278.98
         20         30        3.4          4          4     0.8762     0.9254     0.8319     132.94
         30        120        3.4          4          4     0.6792     0.6919      0.667     292.62
         20        120          4        4.6          4     0.6369     0.6581     0.6171     138.56
