#put your comments after a '#'.
#efficiency name: HLT
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -2.5         -2          4     0.9605      0.961       0.96     1465.4
         20        120         -2       -1.5          4     0.9651     0.9652      0.965     1574.9
         20        120       -1.5         -1          4     0.9805     0.9809     0.9801     2135.4
         20        120         -1       -0.5          4     0.9785     0.9788     0.9782     2750.1
         20        120       -0.5          0          4     0.9823     0.9826      0.982     2794.4
         20        120          0        0.5          4     0.9783     0.9785     0.9781       2906
         20        120        0.5          1          4      0.981     0.9814     0.9807     2668.1
         20        120          1        1.5          4     0.9732     0.9765     0.9699     2199.2
         20        120        1.5          2          4     0.9603     0.9607       0.96     1698.5
         20        120          2        2.5          4     0.9689     0.9693     0.9685     1542.1
