#put your comments after a '#'.
#efficiency name: HLT80
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.9506     0.9518     0.9494     410.18
         30         35       -2.5       -1.5          4     0.9701     0.9708     0.9694     333.89
         35         40       -2.5       -1.5          4     0.9785     0.9789      0.978     417.77
         40         50       -2.5       -1.5          4     0.9855     0.9857     0.9853     897.54
         50        500       -2.5       -1.5          4     0.9757     0.9766     0.9748        288
         20         30       -1.5          0          4      0.988     0.9885     0.9876     941.81
         30         35       -1.5          0          4     0.9828     0.9833     0.9823     895.43
         35         40       -1.5          0          4     0.9904     0.9908     0.9899     1286.8
         40         50       -1.5          0          4     0.9867     0.9869     0.9865     2640.3
         50        500       -1.5          0          4     0.9878      0.988     0.9876        983
         20         30          0        1.5          4     0.9786     0.9792     0.9781     943.59
         30         35          0        1.5          4     0.9833     0.9834     0.9831     957.52
         35         40          0        1.5          4     0.9837     0.9838     0.9836       1289
         40         50          0        1.5          4     0.9862     0.9864      0.986     2664.3
         50        500          0        1.5          4     0.9909     0.9911     0.9907     878.99
         20         30        1.5        2.5          4     0.9614     0.9638      0.959      433.5
         30         35        1.5        2.5          4     0.9618     0.9627     0.9609     392.34
         35         40        1.5        2.5          4     0.9783     0.9791     0.9774     459.96
         40         50        1.5        2.5          4     0.9852     0.9859     0.9845     868.26
         50        500        1.5        2.5          4     0.9785     0.9792     0.9778        326
