#put your comments after a '#'.

efficiency name: Iso-EtaDet
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	-3	-2.8	0	1	-1	0
2	-2.8	-2.6	0	1	-1	0
3	-2.6	-2.5	0.994	1	-1	165.83
4	-2.5	-2.25	0.9841	1	-1	1591.8
5	-2.25	-2	0.9899	1	-1	1792.6
6	-2	-1.75	0.9946	1	-1	2184.9
7	-1.75	-1.56	0.9982	1	-1	1798
8	-1.56	-1.444	0	1	-1	2.0625
9	-1.444	-1.25	0.9971	1	-1	2257.2
10	-1.25	-1	0.9987	1	-1	3039.7
11	-1	-0.75	0.9977	1	-1	3371.5
12	-0.75	-0.5	0.9971	1	-1	3551.6
13	-0.5	-0.25	0.9959	1	-1	3591.4
14	-0.25	0	0.997	1	-1	3661.9
15	0	0.25	0.9965	1	-1	3482.7
16	0.25	0.5	0.9968	1	-1	3453.8
17	0.5	0.75	0.9983	1	-1	3417.6
18	0.75	1	0.9981	1	-1	3214.4
19	1	1.25	0.9956	1	-1	2977.9
20	1.25	1.444	0.9945	1	-1	2170.5
21	1.444	1.56	0	1	-1	6.0417
22	1.56	1.75	0.9936	1	-1	1863.2
23	1.75	2	0.995	1	-1	2180.1
24	2	2.25	0.9809	1	-1	1882.2
25	2.25	2.5	0.9808	1	-1	1566
26	2.5	2.6	0.9867	1	-1	150.33
27	2.6	2.8	1	1	-1	1
28	2.8	3	0	1	-1	0
