#put your comments after a '#'.
#efficiency name: Iso-PtEta
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.8908     0.8948     0.8867     683.64
         30         35       -2.5       -1.5          4      0.957     0.9608     0.9533     480.69
         35         40       -2.5       -1.5          4     0.9631     0.9661     0.9602     603.21
         40         50       -2.5       -1.5          4     0.9805     0.9822     0.9789     1142.2
         50        500       -2.5       -1.5          4     0.9901     0.9958     0.9846     345.39
         20         30       -1.5          0          4     0.9306      0.933     0.9283       1346
         30         35       -1.5          0          4     0.9834     0.9854     0.9814     1094.8
         35         40       -1.5          0          4     0.9888     0.9902     0.9874     1530.7
         40         50       -1.5          0          4     0.9953     0.9962     0.9943     3018.6
         50        500       -1.5          0          4          1          1      0.998     1132.2
         20         30          0        1.5          4       0.96     0.9625     0.9575     1301.7
         30         35          0        1.5          4      0.987      0.989     0.9849     1165.3
         35         40          0        1.5          4     0.9875     0.9891     0.9859     1506.3
         40         50          0        1.5          4     0.9972     0.9981     0.9963     3008.4
         50        500          0        1.5          4          1          1      0.998       1039
         20         30        1.5        2.5          4     0.8941     0.8978     0.8904     727.64
         30         35        1.5        2.5          4     0.9648      0.968     0.9616     572.14
         35         40        1.5        2.5          4     0.9618     0.9641     0.9595     630.79
         40         50        1.5        2.5          4      0.984     0.9858     0.9821     1107.9
         50        500        1.5        2.5          4          1          1     0.9964     388.12
