#put your comments after a '#'.
#efficiency name: Iso80
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.7676     0.7715     0.7638     684.76
         30         35       -2.5       -1.5          4     0.8221     0.8257     0.8185     480.62
         35         40       -2.5       -1.5          4     0.8215     0.8244     0.8187     602.66
         40         50       -2.5       -1.5          4     0.8848     0.8865     0.8831     1140.8
         50        500       -2.5       -1.5          4     0.9006     0.9066     0.8947     350.88
         20         30       -1.5          0          4     0.8056     0.8081     0.8032     1335.4
         30         35       -1.5          0          4     0.9107     0.9131     0.9083     1088.9
         35         40       -1.5          0          4     0.9159     0.9174     0.9144       1531
         40         50       -1.5          0          4     0.9583     0.9595     0.9571     3005.2
         50        500       -1.5          0          4     0.9613     0.9647      0.958     1111.9
         20         30          0        1.5          4     0.8404      0.843     0.8378       1304
         30         35          0        1.5          4     0.9095     0.9118     0.9073       1158
         35         40          0        1.5          4     0.9384     0.9402     0.9365     1508.8
         40         50          0        1.5          4     0.9565     0.9577     0.9554     3002.7
         50        500          0        1.5          4     0.9554     0.9591     0.9516     1007.8
         20         30        1.5        2.5          4     0.7408     0.7442     0.7375     731.71
         30         35        1.5        2.5          4       0.85      0.853     0.8469     576.49
         35         40        1.5        2.5          4     0.8461     0.8483     0.8439     631.26
         40         50        1.5        2.5          4     0.9022     0.9044        0.9     1106.3
         50        500        1.5        2.5          4     0.9017     0.9072     0.8963     391.41
