#put your comments after a '#'.
#efficiency name: HFSCEff
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0           0       100        100          4          0          1         -1          0
          0          15        -5         -3          4     0.3402          1         -1     3552.5
          0          15         3          5          4     0.3402          1         -1     3552.5
         15         16.875     -5         -3          4     0.7491          1         -1      988.5   
         15         16.875      3          5          4     0.7491          1         -1      988.5 
     16.875         18.75      -5         -3          4     0.8209          1         -1     1052.5 
     16.875         18.75       3          5          4     0.8209          1         -1     1052.5 
      18.75         20.625     -5         -3          4     0.8754          1         -1       1192
      18.75         20.625      3          5          4     0.8754          1         -1       1192
     20.625         22.5       -5         -3          4     0.9132          1         -1     1227.5 
     20.625         22.5        3          5          4     0.9132          1         -1     1227.5 
       22.5         24.375     -5         -3          4     0.9346          1         -1     1246.5 
       22.5         24.375      3          5          4     0.9346          1         -1     1246.5 
     24.375         26.25      -5         -3          4     0.9556          1         -1       1217
     24.375         26.25       3          5          4     0.9556          1         -1       1217
      26.25         28.125     -5         -3          4     0.9589          1         -1       1242
      26.25         28.125      3          5          4     0.9589          1         -1       1242
     28.125         30         -5         -3          4     0.9777          1         -1       1276
     28.125         30          3          5          4     0.9777          1         -1       1276
         30         45         -5         -3          4     0.9847          1         -1    11411.5
         30         45          3          5          4     0.9847          1         -1    11411.5
         45         150        -5         -3          4     0.9884          1         -1     4140.5
         44         150         3          5          4     0.9884          1         -1     4140.5
