#put your comments after a '#'.
#efficiency name: SC
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         15         25       -2.9       -2.7          4     1.00    0.9925     0.9925        928
         25         40       -2.9       -2.7          4     1.00    0.9958     0.9958       2407
         40        500       -2.9       -2.7          4     1.00    0.9974     0.9974       1566
         15         25       -2.7       -2.5          4     1.00     0.999      0.999       1920
         25         40       -2.7       -2.5          4     1.00    0.9996     0.9996       5195
         40        500       -2.7       -2.5          4     1.00    0.9987     0.9987       3724
         15         25       -2.5       -2.3          4     1.00    0.9924     0.9924       1964
         25         40       -2.5       -2.3          4     1.00    0.9941     0.9941       5627
         40        500       -2.5       -2.3          4     1.00    0.9945     0.9945       4584
         15         25       -2.3       -2.1          4     1.00    0.9824     0.9824       1931
         25         40       -2.3       -2.1          4     1.00    0.9871     0.9871       5957
         40        500       -2.3       -2.1          4     1.00    0.9885     0.9885       5455
         15         25       -2.1       -1.9          4     1.00         1          1       2080
         25         40       -2.1       -1.9          4     1.00         1          1       6320
         40        500       -2.1       -1.9          4     1.00         1          1       6587
         15         25       -1.9       -1.7          4     1.00    0.9962     0.9962       2128
         25         40       -1.9       -1.7          4     1.00    0.9954     0.9954       6694
         40        500       -1.9       -1.7          4     1.00    0.9969     0.9969       7335
         15         25       -1.7       -1.566        4     1.00         1          1       1034
         25         40       -1.7       -1.566        4     1.00    0.9986     0.9986       3490
         40        500       -1.7       -1.566        4     1.00    0.9993     0.9993       4064
         15         25       -1.442     -1.3          4     1.00    0.9953     0.9953       1062
         25         40       -1.442     -1.3          4     1.00    0.9984     0.9984       3771
         40        500       -1.442     -1.3          4     1.00     0.998      0.998       4556
         15         25       -1.3       -1.1          4     1.00    0.9956     0.9956       2053
         25         40       -1.3       -1.1          4     1.00    0.9979     0.9979       7988
         40        500       -1.3       -1.1          4     1.00    0.9981     0.9981       9324
         15         25       -1.1       -0.9          4     1.00     0.994      0.994       2003
         25         40       -1.1       -0.9          4     1.00     0.995      0.995       8525
         40        500       -1.1       -0.9          4     1.00    0.9955     0.9955       9705
         15         25       -0.9       -0.7          4     1.00    0.9886     0.9886       2108
         25         40       -0.9       -0.7          4     1.00     0.991      0.991       8788
         40        500       -0.9       -0.7          4     1.00    0.9911     0.9911       9960
         15         25       -0.7       -0.5          4     1.00    0.9996     0.9996       2240
         25         40       -0.7       -0.5          4     1.00    0.9996     0.9996       9153
         40        500       -0.7       -0.5          4     1.00    0.9994     0.9994      10158
         15         25       -0.5       -0.3          4     1.00    0.9924     0.9924       2233
         25         40       -0.5       -0.3          4     1.00    0.9956     0.9956       9674
         40        500       -0.5       -0.3          4     1.00    0.9936     0.9936      10549
         15         25       -0.3       -0.1          4     1.00    0.9855     0.9855       2338
         25         40       -0.3       -0.1          4     1.00    0.9847     0.9847       9775
         40        500       -0.3       -0.1          4     1.00    0.9845     0.9845      10808
         15         25       -0.1        0.1          4     1.00     0.988      0.988       2340
         25         40       -0.1        0.1          4     1.00    0.9886     0.9886      10012
         40        500       -0.1        0.1          4     1.00    0.9873     0.9873      10583
         15         25        0.1        0.3          4     1.00    0.9937     0.9937       2374
         25         40        0.1        0.3          4     1.00    0.9964     0.9964       9761
         40        500        0.1        0.3          4     1.00     0.997      0.997      10652
         15         25        0.3        0.5          4     1.00    0.9925     0.9925       2273
         25         40        0.3        0.5          4     1.00    0.9947     0.9947       9539
         40        500        0.3        0.5          4     1.00    0.9956     0.9956      10402
         15         25        0.5        0.7          4     1.00    0.9978     0.9978       2292
         25         40        0.5        0.7          4     1.00    0.9995     0.9995       9301
         40        500        0.5        0.7          4     1.00    0.9993     0.9993      10185
         15         25        0.7        0.9          4     1.00    0.9948     0.9948       2128
         25         40        0.7        0.9          4     1.00    0.9966     0.9966       8824
         40        500        0.7        0.9          4     1.00    0.9948     0.9948       9925
         15         25        0.9        1.1          4     1.00    0.9862     0.9862       2100
         25         40        0.9        1.1          4     1.00    0.9898     0.9898       8568
         40        500        0.9        1.1          4     1.00    0.9938     0.9938       9708
         15         25        1.1        1.3          4     1.00    0.9971     0.9971       2097
         25         40        1.1        1.3          4     1.00    0.9988     0.9988       8100
         40        500        1.1        1.3          4     1.00    0.9987     0.9987       9255
         15         25        1.3        1.442        4     1.00     0.995      0.995       1003
         25         40        1.3        1.442        4     1.00    0.9961     0.9961       3847
         40        500        1.3        1.442        4     1.00    0.9971     0.9971       4489
         15         25        1.566      1.7          4     1.00    0.9844     0.9844       1090
         25         40        1.566      1.7          4     1.00    0.9862     0.9862       3398
         40        500        1.566      1.7          4     1.00    0.9822     0.9822       3943
         15         25        1.7        1.9          4     1.00    0.9899     0.9899       2170
         25         40        1.7        1.9          4     1.00    0.9913     0.9913       6658
         40        500        1.7        1.9          4     1.00    0.9939     0.9939       7260
         15         25        1.9        2.1          4     1.00    0.9995     0.9995       2002
         25         40        1.9        2.1          4     1.00         1          1       6169
         40        500        1.9        2.1          4     1.00         1          1       6330
         15         25        2.1        2.3          4     1.00         1          1       2011
         25         40        2.1        2.3          4     1.00         1          1       6011
         40        500        2.1        2.3          4     1.00         1          1       5681
         15         25        2.3        2.5          4     1.00         1          1       1821
         25         40        2.3        2.5          4     1.00         1          1       5505
         40        500        2.3        2.5          4     1.00         1          1       4647
         15         25        2.5        2.7          4     1.00    0.9994     0.9994       1794
         25         40        2.5        2.7          4     1.00    0.9992     0.9992       5214
         40        500        2.5        2.7          4     1.00    0.9989     0.9989       3806
         15         25        2.7        2.9          4     1.00    0.9936     0.9936        941
         25         40        2.7        2.9          4     1.00    0.9927     0.9927       2451
         40        500        2.7        2.9          4     1.00    0.9936     0.9936       1561
