#put your comments after a '#'.
#efficiency name: WP95
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.8287     0.8329     0.8246     674.78
         30         35       -2.5       -1.5          4     0.9291     0.9329     0.9253     480.09
         35         40       -2.5       -1.5          4     0.9337     0.9369     0.9305     600.55
         40         50       -2.5       -1.5          4      0.967     0.9689      0.965     1141.9
         50        500       -2.5       -1.5          4     0.9733     0.9795     0.9672     344.16
         20         30       -1.5          0          4     0.8512     0.8537     0.8487     1331.2
         30         35       -1.5          0          4     0.9308     0.9332     0.9285     1092.9
         35         40       -1.5          0          4     0.9465     0.9482     0.9449     1523.5
         40         50       -1.5          0          4     0.9487     0.9499     0.9476     3012.7
         50        500       -1.5          0          4     0.9497     0.9527     0.9467     1125.6
         20         30          0        1.5          4      0.905     0.9077     0.9023     1295.8
         30         35          0        1.5          4     0.9469     0.9493     0.9446     1160.1
         35         40          0        1.5          4     0.9518     0.9538     0.9499     1501.6
         40         50          0        1.5          4     0.9633     0.9644     0.9621     3001.2
         50        500          0        1.5          4     0.9461     0.9498     0.9424     1010.4
         20         30        1.5        2.5          4     0.8547     0.8585     0.8508     719.98
         30         35        1.5        2.5          4     0.9267     0.9299     0.9235     574.92
         35         40        1.5        2.5          4     0.9295      0.932      0.927     628.73
         40         50        1.5        2.5          4     0.9563     0.9582     0.9543       1110
         50        500        1.5        2.5          4     0.9924     0.9975     0.9872     383.91
