#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.086282e-03    1.751686e-06
         2       2.5       5.0    3.139496e-03    2.597304e-03
         3       5.0       7.5    4.834294e-03    2.753732e-03
         4       7.5      10.0   -2.661526e-03    3.143257e-03
         5      10.0      12.5   -8.394718e-04    3.588858e-03
         6      12.5      15.0   -7.180810e-03    4.015713e-03
         7      15.0      17.5    6.570220e-03    4.532052e-03
         8      17.5      20.0   -4.988253e-03    4.965338e-03
         9      20.0      30.0    1.343250e-03    3.101997e-03
        10      30.0      40.0   -4.847109e-03    4.195596e-03
        11      40.0      50.0   -7.424831e-03    5.437358e-03
        12      50.0      70.0   -6.549239e-03    5.374970e-03
        13      70.0      90.0   -1.197869e-02    8.177506e-03
        14      90.0     110.0    2.373600e-02    1.252993e-02
        15     110.0     150.0   -2.787709e-03    1.362445e-02
        16     150.0     190.0    2.022612e-02    2.411300e-02
        17     190.0     250.0   -2.348793e-02    3.351325e-02
        18     250.0     600.0    5.195332e-02    5.247623e-02
        19     600.0    3500.0    3.235530e-01    7.749928e-01
