#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    0.000000e+00    1.797281e-06
         2       2.5       5.0    0.000000e+00    2.627260e-03
         3       5.0       7.5    0.000000e+00    2.781933e-03
         4       7.5      10.0    0.000000e+00    3.193501e-03
         5      10.0      12.5    0.000000e+00    3.641192e-03
         6      12.5      15.0    0.000000e+00    4.093943e-03
         7      15.0      17.5    0.000000e+00    4.572480e-03
         8      17.5      20.0    0.000000e+00    5.053629e-03
         9      20.0      30.0    0.000000e+00    3.142036e-03
        10      30.0      40.0    0.000000e+00    4.269741e-03
        11      40.0      50.0    0.000000e+00    5.544313e-03
        12      50.0      70.0    0.000000e+00    5.477044e-03
        13      70.0      90.0    0.000000e+00    8.367391e-03
        14      90.0     110.0    0.000000e+00    1.248051e-02
        15     110.0     150.0    0.000000e+00    1.384356e-02
        16     150.0     190.0    0.000000e+00    2.408065e-02
        17     190.0     250.0    0.000000e+00    3.459605e-02
        18     250.0     600.0    0.000000e+00    5.119794e-02
        19     600.0    3500.0    0.000000e+00    6.324552e-01
