#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5   -5.450547e-03    1.786283e-06
         2       2.5       5.0   -1.220822e-03    2.622180e-03
         3       5.0       7.5    6.583929e-04    2.780474e-03
         4       7.5      10.0    2.465606e-03    3.196153e-03
         5      10.0      12.5    3.334284e-04    3.638395e-03
         6      12.5      15.0   -4.879832e-03    4.074793e-03
         7      15.0      17.5    9.167194e-04    4.570968e-03
         8      17.5      20.0   -2.989352e-03    5.037156e-03
         9      20.0      30.0    2.187967e-03    3.143990e-03
        10      30.0      40.0    1.602173e-04    4.265907e-03
        11      40.0      50.0    3.522158e-03    5.553307e-03
        12      50.0      70.0    3.353953e-03    5.485239e-03
        13      70.0      90.0    3.076911e-03    8.378173e-03
        14      90.0     110.0    1.204133e-03    1.247907e-02
        15     110.0     150.0   -6.204844e-05    1.382882e-02
        16     150.0     190.0    9.212613e-03    2.422240e-02
        17     190.0     250.0    2.036607e-02    3.508865e-02
        18     250.0     600.0    4.683578e-02    5.294026e-02
        19     600.0    3500.0   -4.070222e-03    6.298809e-01
