#put your comments after a '#'.
#Variable name: rap
#    RapBin     RapMin     RapMax      Value     Error
         25       -2.6       -2.5     0.4725     0.4742
         26       -2.5       -2.4  2.374e-07     0.3183
         27       -2.4       -2.3   9.07e-10     0.8376
         28       -2.3       -2.2      1.364      1.729
         29       -2.2       -2.1      2.255      2.253
         30       -2.1         -2  0.0001494      4.014
         31         -2       -1.9      1.629      2.596
         32       -1.9       -1.8      1.294      2.946
         33       -1.8       -1.7  4.587e-06     0.9763
         34       -1.7       -1.6     0.6908      3.361
         35       -1.6       -1.5      1.896       3.68
         36       -1.5       -1.4     0.9778      3.828
         37       -1.4       -1.3      8.75       5.498
         38       -1.3       -1.2      6.368      4.783
         39       -1.2       -1.1      2.145      4.582
         40       -1.1         -1      7.444      4.953
         41         -1       -0.9      5.563      4.427
         42       -0.9       -0.8     0.6867      4.971
         43       -0.8       -0.7      3.337      4.345
         44       -0.7       -0.6      2.338      4.252
         45       -0.6       -0.5  6.254e-06      4.513
         46       -0.5       -0.4      2.508      4.761
         47       -0.4       -0.3      11.89        5.7
         48       -0.3       -0.2      1.826      4.741
         49       -0.2       -0.1      3.142      5.004
         50       -0.1          0      4.097      5.259
         51          0        0.1      5.837       5.07
         52        0.1        0.2      4.125      5.205
         53        0.2        0.3     0.8386      5.892
         54        0.3        0.4     0.4262      5.07
         55        0.4        0.5      5.854      4.762
         56        0.5        0.6  2.286e-06      4.12
         57        0.6        0.7       1.48      4.682
         58        0.7        0.8      5.069       4.83
         59        0.8        0.9      1.337      4.464
         60        0.9          1  3.505e-05      1.396
         61          1        1.1      3.103      4.974
         62        1.1        1.2  1.713e-05      1.579
         63        1.2        1.3       9.65      5.431
         64        1.3        1.4      4.894        4.5
         65        1.4        1.5     0.8364      4.193
         66        1.5        1.6   5.09e-05       3.09
         67        1.6        1.7      5.043      3.807
         68        1.7        1.8      5.708      3.948
         69        1.8        1.9  9.202e-10       1.59
         70        1.9          2      2.952      2.745
         71          2        2.1      4.662      2.699
         72        2.1        2.2      1.836       1.84
         73        2.2        2.3     0.6478      1.418
         74        2.3        2.4  2.384e-07     0.5239
         75        2.4        2.5      1.083     0.9703
