#put your comments after a '#'.
#Variable name: hfrap
#    RapBin     RapMin     RapMax      Value     Error
         14       -3.7       -3.6     0.9857     0.9857
         15       -3.6       -3.5  0.0001743      1.819
         16       -3.5       -3.4      1.365      2.955
         17       -3.4       -3.3      1.063      2.474
         18       -3.3       -3.2  6.468e-08      1.235
         19       -3.2       -3.1      2.184      2.871
         20       -3.1         -3       4.26      2.742
         21         -3       -2.9      8.394      3.574
         22       -2.9       -2.8      10.27       3.95
         23       -2.8       -2.7      9.866      4.264
         24       -2.7       -2.6      6.894      4.096
         25       -2.6       -2.5      9.972      4.772
         26       -2.5       -2.4      6.444      4.164
         27       -2.4       -2.3      9.928       4.93
         28       -2.3       -2.2      6.968      3.645
         29       -2.2       -2.1      4.401      2.879
         30       -2.1         -2      4.331      2.697
         31         -2       -1.9     0.4755      1.037
         32       -1.9       -1.8      1.746      1.505
         33       -1.8       -1.7      2.497      1.459
         34       -1.7       -1.6  1.678e-05     0.9201
         35       -1.6       -1.5     0.7898     0.5799
         36       -1.5       -1.4     0.3332     0.3332
         37       -1.4       -1.3     0.6685     0.4724
         38       -1.3       -1.2  0.0006396     0.8088
         65        1.4        1.5     0.3351     0.3351
         66        1.5        1.6     0.5734      0.565
         67        1.6        1.7      1.088     0.9814
         68        1.7        1.8      1.107      1.203
         69        1.8        1.9      1.658      2.009
         70        1.9          2     0.1477      2.429
         71          2        2.1      1.223       1.93
         72        2.1        2.2      7.475      3.702
         73        2.2        2.3      4.916      4.213
         74        2.3        2.4      6.319      3.712
         75        2.4        2.5      10.51      4.314
         76        2.5        2.6      5.807      4.136
         77        2.6        2.7      11.99       4.35
         78        2.7        2.8      10.33      4.238
         79        2.8        2.9      7.624      3.777
         80        2.9          3      1.568      2.748
         81          3        3.1      3.425      3.291
         82        3.1        3.2      1.674      3.893
         83        3.2        3.3  3.853e-07      1.968
         84        3.3        3.4      1.124      1.811
         85        3.4        3.5       1.25      2.226
         86        3.5        3.6  1.767e-06      0.804
