#    PtBin     PtMin     PtMax      Value     Error
        1       0.0       2.5     0.0321      0.0014    
        2       2.5       5.0     0.0589      0.0021    
        3       5.0       7.5     0.0551      0.0020    
        4       7.5      10.0     0.0390      0.0018    
        5      10.0      12.5     0.0349      0.0016    
        6      12.5      15.0     0.0274      0.0015    
        7      15.0      17.5     0.0223      0.0014    
        8      17.5      20.0     0.0168      0.0012    
        9      20.0      30.0     0.01140     0.00041   
       10      30.0      40.0     0.00632     0.00028   
       11      40.0      50.0     0.00353     0.00021   
       12      50.0      70.0     0.00174     0.00010   
       13      70.0      90.0     0.000776    0.000071  
       14      90.0     110.0     0.000487    0.000055  
       15     110.0     150.0     0.000179    0.000022  
       16     150.0     190.0     0.000071    0.000014  
       17     190.0     250.0     0.0000117   0.0000051 
       18     250.0     600.0     0.00000224  0.00000078
