#bin  ymin  ymax   value   error  

  1    0.0   0.1   0.3240  0.0122
  2    0.1   0.2   0.3383  0.0129
  3    0.2   0.3   0.3382  0.0129
  4    0.3   0.4   0.3412  0.0130
  5    0.4   0.5   0.3625  0.0133
  6    0.5   0.6   0.3420  0.0130
  7    0.6   0.7   0.3118  0.0125
  8    0.7   0.8   0.3537  0.0133
  9    0.8   0.9   0.3435  0.0135
 10    0.9   1.0   0.3316  0.0135
 11    1.0   1.1   0.3358  0.0139
 12    1.1   1.2   0.3237  0.0140
 13    1.2   1.3   0.3208  0.0145
 14    1.3   1.4   0.3546  0.0159
 15    1.4   1.5   0.3261  0.0164
 16    1.5   1.6   0.3311  0.0176
 17    1.6   1.7   0.2938  0.0180
 18    1.7   1.8   0.3306  0.0214
 19    1.8   1.9   0.3237  0.0248
 20    1.9   2.0   0.3276  0.0319

