# Positive PDF errors
#Bin        YMin        YMax     Entries
1           0         2.5       0.0057   
2         2.5           5       0.0015   
3           5         7.5       0.0030   
4         7.5          10       0.0033   
5          10        12.5       0.0029   
6        12.5          15       0.0025   
7          15        17.5       0.0018   
8        17.5          20       0.0017   
9          20          30       0.0015   
10          30          40      0.0013   
11          40          50      0.0012   
12          50          70      0.0011   
13          70          90      0.0010   
14          90         110      0.0010   
15         110         150      0.0011   
16         150         190      0.0012   
17         190         250      0.0013   
18         250         600      0.0014   
