#put your comments after a '#' 
# Positive PDF errors
#Bin        YMin        YMax     Entries
1          -5        -4.9           0
2        -4.9        -4.8           0
3        -4.8        -4.7           0
4        -4.7        -4.6           0
5        -4.6        -4.5           0
6        -4.5        -4.4           0
7        -4.4        -4.3           0
8        -4.3        -4.2           0
9        -4.2        -4.1           0
10        -4.1          -4           0
11          -4        -3.9           0
12        -3.9        -3.8    0.272902
13        -3.8        -3.7   0.0485361
14        -3.7        -3.6   0.0212467
15        -3.6        -3.5    0.120631
16        -3.5        -3.4  0.00364175
17        -3.4        -3.3  0.00406847
18        -3.3        -3.2  0.00391624
19        -3.2        -3.1  0.00368191
20        -3.1          -3   0.0025238
21          -3        -2.9  0.00276447
22        -2.9        -2.8  0.00158651
23        -2.8        -2.7  0.00263223
24        -2.7        -2.6  0.00229523
25        -2.6        -2.5  0.00204577
26        -2.5        -2.4  0.00122432
27        -2.4        -2.3 0.000377236
28        -2.3        -2.2 0.000595006
29        -2.2        -2.1 0.000368304
30        -2.1          -2 0.000383328
31          -2        -1.9  0.00135713
32        -1.9        -1.8  0.00104238
33        -1.8        -1.7 0.000398942
34        -1.7        -1.6 0.000290109
35        -1.6        -1.5 0.000610347
36        -1.5        -1.4 0.000504236
37        -1.4        -1.3 0.000568583
38        -1.3        -1.2 0.000607744
39        -1.2        -1.1 0.000832291
40        -1.1          -1 0.000470656
41          -1        -0.9  0.00067389
42        -0.9        -0.8 0.000436258
43        -0.8        -0.7    0.000409
44        -0.7        -0.6 0.000709846
45        -0.6        -0.5 0.000284725
46        -0.5        -0.4 0.000335325
47        -0.4        -0.3 0.000456911
48        -0.3        -0.2 0.000381925
49        -0.2        -0.1 0.000504514
50        -0.1 3.60822e-16 0.000604953
51           0         0.1 0.000565577
52         0.1         0.2  0.00106902
53         0.2         0.3 0.000854143
54         0.3         0.4 0.000623752
55         0.4         0.5  0.00041757
56         0.5         0.6 0.000525441
57         0.6         0.7 0.000339951
58         0.7         0.8 0.000660305
59         0.8         0.9 0.000476793
60         0.9           1   0.0007239
61           1         1.1 0.000639646
62         1.1         1.2 0.000626883
63         1.2         1.3   0.0010023
64         1.3         1.4  0.00105692
65         1.4         1.5 0.000722809
66         1.5         1.6 0.000467381
67         1.6         1.7 0.000446886
68         1.7         1.8 0.000495051
69         1.8         1.9 0.000964705
70         1.9           2  0.00114565
71           2         2.1 0.000575002
72         2.1         2.2 0.000292951
73         2.2         2.3 0.000426772
74         2.3         2.4 0.000644837
75         2.4         2.5  0.00118514
76         2.5         2.6  0.00199454
77         2.6         2.7  0.00175959
78         2.7         2.8  0.00224478
79         2.8         2.9  0.00202561
80         2.9           3  0.00217768
81           3         3.1  0.00292138
82         3.1         3.2  0.00442801
83         3.2         3.3  0.00505381
84         3.3         3.4   0.0051632
85         3.4         3.5  0.00436427
86         3.5         3.6  0.00973647
87         3.6         3.7   0.0254885
88         3.7         3.8    0.040064
89         3.8         3.9     0.16686
90         3.9           4           0
91           4         4.1           0
92         4.1         4.2           0
93         4.2         4.3           0
94         4.3         4.4           0
95         4.4         4.5           0
96         4.5         4.6           0
97         4.6         4.7           0
98         4.7         4.8           0
99         4.8         4.9           0
