#put your comments after a '#' 
# Positive PDF errors
#Bin        YMin        YMax     Entries
1          -5        -4.9           0
2        -4.9        -4.8           0
3        -4.8        -4.7           0
4        -4.7        -4.6           0
5        -4.6        -4.5           0
6        -4.5        -4.4           0
7        -4.4        -4.3           0
8        -4.3        -4.2           0
9        -4.2        -4.1           0
10        -4.1          -4           0
11          -4        -3.9           0
12        -3.9        -3.8    0.332079
13        -3.8        -3.7   0.0501762
14        -3.7        -3.6   0.0495925
15        -3.6        -3.5    0.219948
16        -3.5        -3.4   0.0019297
17        -3.4        -3.3  0.00400761
18        -3.3        -3.2   0.0042695
19        -3.2        -3.1  0.00459777
20        -3.1          -3  0.00251464
21          -3        -2.9  0.00266419
22        -2.9        -2.8  0.00231547
23        -2.8        -2.7  0.00245736
24        -2.7        -2.6  0.00207241
25        -2.6        -2.5  0.00229877
26        -2.5        -2.4  0.00143816
27        -2.4        -2.3 0.000256707
28        -2.3        -2.2 0.000814585
29        -2.2        -2.1 0.000496113
30        -2.1          -2 0.000804309
31          -2        -1.9  0.00127647
32        -1.9        -1.8  0.00105571
33        -1.8        -1.7 0.000396749
34        -1.7        -1.6 0.000279289
35        -1.6        -1.5 0.000421606
36        -1.5        -1.4 0.000412535
37        -1.4        -1.3 0.000511386
38        -1.3        -1.2 0.000739703
39        -1.2        -1.1 0.000910534
40        -1.1          -1 0.000515695
41          -1        -0.9 0.000424323
42        -0.9        -0.8 0.000374719
43        -0.8        -0.7 0.000514332
44        -0.7        -0.6 0.000521924
45        -0.6        -0.5 0.000232454
46        -0.5        -0.4  0.00031214
47        -0.4        -0.3 0.000496593
48        -0.3        -0.2 0.000480713
49        -0.2        -0.1 0.000486646
50        -0.1 3.60822e-16 0.000540026
51           0         0.1 0.000551584
52         0.1         0.2  0.00104325
53         0.2         0.3 0.000914259
54         0.3         0.4 0.000760432
55         0.4         0.5 0.000387852
56         0.5         0.6 0.000510329
57         0.6         0.7 0.000340982
58         0.7         0.8  0.00038488
59         0.8         0.9 0.000502383
60         0.9           1 0.000715508
61           1         1.1 0.000676127
62         1.1         1.2 0.000628967
63         1.2         1.3  0.00102457
64         1.3         1.4  0.00112078
65         1.4         1.5  0.00078743
66         1.5         1.6 0.000626261
67         1.6         1.7 0.000298354
68         1.7         1.8 0.000572603
69         1.8         1.9  0.00100337
70         1.9           2  0.00118119
71           2         2.1 0.000416158
72         2.1         2.2 0.000270375
73         2.2         2.3 0.000496419
74         2.3         2.4 0.000594438
75         2.4         2.5  0.00107825
76         2.5         2.6  0.00227109
77         2.6         2.7  0.00158646
78         2.7         2.8  0.00222476
79         2.8         2.9  0.00221296
80         2.9           3  0.00233864
81           3         3.1  0.00338389
82         3.1         3.2    0.005074
83         3.2         3.3  0.00548973
84         3.3         3.4  0.00524858
85         3.4         3.5  0.00372954
86         3.5         3.6   0.0153264
87         3.6         3.7   0.0414688
88         3.7         3.8   0.0528079
89         3.8         3.9           0
90         3.9           4           0
91           4         4.1           0
92         4.1         4.2           0
93         4.2         4.3           0
94         4.3         4.4           0
95         4.4         4.5           0
96         4.5         4.6           0
97         4.6         4.7           0
98         4.7         4.8           0
99         4.8         4.9           0
