#put your comments after a '#' 
# Negative PDF errors
#Bin        YMin        YMax     Entries
1         0.7         2.5 -0.00728388
2         2.5           5 -0.00561129
3           5         7.5 -0.00413214
4         7.5          10 -0.00319272
5          10        12.5 -0.00290631
6        12.5          15 -0.00373248
7          15        17.5 -0.00427253
8        17.5          20 -0.00434434
9          20          30 -0.00496859
10          30          40 -0.00761189
11          40          50  -0.0105506
12          50          70  -0.0142633
13          70          90  -0.0187694
14          90         110  -0.0232629
15         110         150  -0.0276016
16         150         190  -0.0379989
17         190         250  -0.0419934
18         250         600   -0.059182
