#put your comments after a '#' 
# Negative PDF errors
#Bin        YMin        YMax     Entries
1          -5        -4.9           0
2        -4.9        -4.8           0
3        -4.8        -4.7           0
4        -4.7        -4.6           0
5        -4.6        -4.5           0
6        -4.5        -4.4           0
7        -4.4        -4.3           0
8        -4.3        -4.2           0
9        -4.2        -4.1           0
10        -4.1          -4           0
11          -4        -3.9           0
12        -3.9        -3.8    -0.28325
13        -3.8        -3.7  -0.0972025
14        -3.7        -3.6  -0.0714839
15        -3.6        -3.5  -0.0707093
16        -3.5        -3.4  -0.0706318
17        -3.4        -3.3  -0.0670908
18        -3.3        -3.2  -0.0653953
19        -3.2        -3.1  -0.0623016
20        -3.1          -3  -0.0583503
21          -3        -2.9  -0.0566788
22        -2.9        -2.8  -0.0551334
23        -2.8        -2.7  -0.0549674
24        -2.7        -2.6  -0.0506107
25        -2.6        -2.5  -0.0442078
26        -2.5        -2.4  -0.0399941
27        -2.4        -2.3  -0.0368173
28        -2.3        -2.2  -0.0339875
29        -2.2        -2.1  -0.0318296
30        -2.1          -2  -0.0290716
31          -2        -1.9  -0.0271202
32        -1.9        -1.8  -0.0251168
33        -1.8        -1.7  -0.0219089
34        -1.7        -1.6  -0.0193515
35        -1.6        -1.5  -0.0159389
36        -1.5        -1.4  -0.0121742
37        -1.4        -1.3 -0.00929152
38        -1.3        -1.2     -0.0071
39        -1.2        -1.1 -0.00612084
40        -1.1          -1  -0.0091223
41          -1        -0.9  -0.0131609
42        -0.9        -0.8  -0.0155422
43        -0.8        -0.7  -0.0174558
44        -0.7        -0.6  -0.0176808
45        -0.6        -0.5  -0.0191377
46        -0.5        -0.4  -0.0205367
47        -0.4        -0.3   -0.022143
48        -0.3        -0.2  -0.0231771
49        -0.2        -0.1  -0.0240444
50        -0.1 3.60822e-16   -0.024298
51           0         0.1  -0.0244793
52         0.1         0.2   -0.024179
53         0.2         0.3  -0.0234582
54         0.3         0.4  -0.0222195
55         0.4         0.5  -0.0209104
56         0.5         0.6  -0.0191485
57         0.6         0.7  -0.0177808
58         0.7         0.8  -0.0174344
59         0.8         0.9  -0.0164524
60         0.9           1  -0.0136244
61           1         1.1 -0.00848709
62         1.1         1.2 -0.00562535
63         1.2         1.3 -0.00686022
64         1.3         1.4 -0.00896643
65         1.4         1.5  -0.0120332
66         1.5         1.6  -0.0160346
67         1.6         1.7  -0.0191236
68         1.7         1.8  -0.0213973
69         1.8         1.9  -0.0244513
70         1.9           2  -0.0273263
71           2         2.1  -0.0293088
72         2.1         2.2  -0.0316334
73         2.2         2.3  -0.0343133
74         2.3         2.4  -0.0366338
75         2.4         2.5  -0.0395333
76         2.5         2.6  -0.0446099
77         2.6         2.7  -0.0507552
78         2.7         2.8  -0.0547331
79         2.8         2.9  -0.0550411
80         2.9           3  -0.0562167
81           3         3.1  -0.0582602
82         3.1         3.2  -0.0625867
83         3.2         3.3  -0.0659684
84         3.3         3.4  -0.0686148
85         3.4         3.5  -0.0709435
86         3.5         3.6  -0.0698067
87         3.6         3.7  -0.0729408
88         3.7         3.8  -0.0705237
89         3.8         3.9   -0.211649
90         3.9           4           0
91           4         4.1           0
92         4.1         4.2           0
93         4.2         4.3           0
94         4.3         4.4           0
95         4.4         4.5           0
96         4.5         4.6           0
97         4.6         4.7           0
98         4.7         4.8           0
99         4.8         4.9           0
