#put your comments after a '#' 
# Positive PDF errors
#Bin        YMin        YMax     Entries
1         0.7         2.5  0.00822707
2         2.5           5  0.00715979
3           5         7.5  0.00567461
4         7.5          10  0.00328837
5          10        12.5  0.00163381
6        12.5          15 0.000966255
7          15        17.5  0.00173542
8        17.5          20  0.00240946
9          20          30  0.00497428
10          30          40  0.00825714
11          40          50   0.0107774
12          50          70   0.0138767
13          70          90   0.0188074
14          90         110   0.0243711
15         110         150    0.032918
16         150         190   0.0389625
17         190         250   0.0468162
18         250         600   0.0723583
