#put your comments after a '#' 
# Positive PDF errors
#Bin        YMin        YMax     Entries
1          -5        -4.9           0
2        -4.9        -4.8           0
3        -4.8        -4.7           0
4        -4.7        -4.6           0
5        -4.6        -4.5           0
6        -4.5        -4.4           0
7        -4.4        -4.3           0
8        -4.3        -4.2           0
9        -4.2        -4.1           0
10        -4.1          -4           0
11          -4        -3.9           0
12        -3.9        -3.8    0.335047
13        -3.8        -3.7   0.0764219
14        -3.7        -3.6   0.0720807
15        -3.6        -3.5    0.158816
16        -3.5        -3.4   0.0735986
17        -3.4        -3.3   0.0715115
18        -3.3        -3.2   0.0658494
19        -3.2        -3.1   0.0641529
20        -3.1          -3   0.0615781
21          -3        -2.9     0.05771
22        -2.9        -2.8   0.0522829
23        -2.8        -2.7   0.0488816
24        -2.7        -2.6   0.0470343
25        -2.6        -2.5    0.046111
26        -2.5        -2.4   0.0430615
27        -2.4        -2.3   0.0399734
28        -2.3        -2.2   0.0367039
29        -2.2        -2.1   0.0334075
30        -2.1          -2   0.0290047
31          -2        -1.9   0.0246617
32        -1.9        -1.8   0.0225753
33        -1.8        -1.7   0.0187263
34        -1.7        -1.6   0.0150205
35        -1.6        -1.5   0.0121498
36        -1.5        -1.4   0.0115405
37        -1.4        -1.3  0.00891798
38        -1.3        -1.2  0.00816811
39        -1.2        -1.1  0.00916529
40        -1.1          -1  0.00785134
41          -1        -0.9  0.00824143
42        -0.9        -0.8  0.00986226
43        -0.8        -0.7   0.0142918
44        -0.7        -0.6   0.0188217
45        -0.6        -0.5   0.0201979
46        -0.5        -0.4   0.0217103
47        -0.4        -0.3   0.0242342
48        -0.3        -0.2   0.0260846
49        -0.2        -0.1   0.0266221
50        -0.1 3.60822e-16   0.0274924
51           0         0.1   0.0274435
52         0.1         0.2     0.02775
53         0.2         0.3   0.0263415
54         0.3         0.4   0.0251848
55         0.4         0.5   0.0230935
56         0.5         0.6   0.0208267
57         0.6         0.7   0.0173155
58         0.7         0.8   0.0139032
59         0.8         0.9  0.00984745
60         0.9           1  0.00826195
61           1         1.1  0.00750317
62         1.1         1.2  0.00814718
63         1.2         1.3  0.00871518
64         1.3         1.4  0.00989553
65         1.4         1.5    0.011052
66         1.5         1.6   0.0117682
67         1.6         1.7   0.0150427
68         1.7         1.8    0.019001
69         1.8         1.9   0.0222297
70         1.9           2   0.0254125
71           2         2.1    0.029033
72         2.1         2.2   0.0336224
73         2.2         2.3   0.0366582
74         2.3         2.4    0.039637
75         2.4         2.5   0.0428045
76         2.5         2.6   0.0458303
77         2.6         2.7   0.0457917
78         2.7         2.8   0.0489446
79         2.8         2.9   0.0537097
80         2.9           3   0.0581835
81           3         3.1   0.0619139
82         3.1         3.2   0.0645636
83         3.2         3.3   0.0667181
84         3.3         3.4   0.0716359
85         3.4         3.5   0.0751866
86         3.5         3.6   0.0765294
87         3.6         3.7   0.0659816
88         3.7         3.8   0.0679287
89         3.8         3.9    0.207976
90         3.9           4           0
91           4         4.1           0
92         4.1         4.2           0
93         4.2         4.3           0
94         4.3         4.4           0
95         4.4         4.5           0
96         4.5         4.6           0
97         4.6         4.7           0
98         4.7         4.8           0
99         4.8         4.9           0
