#put your comments after a '#'.
#Variable name: fixrap
#    RapBin     RapMin     RapMax      Value     Error
         25       -2.6       -2.5          0          0
         26       -2.5       -2.4      12.54      3.477
         27       -2.4       -2.3      51.85      7.056
         28       -2.3       -2.2      77.74      9.259
         29       -2.2       -2.1      92.48      10.09
         30       -2.1         -2      126.4      11.04
         31         -2       -1.9      155.4      13.02
         32       -1.9       -1.8      139.1      12.57
         33       -1.8       -1.7        190      13.57
         34       -1.7       -1.6      204.9      14.92
         35       -1.6       -1.5        224      15.71
         36       -1.5       -1.4      255.8      16.76
         37       -1.4       -1.3      269.9      17.62
         38       -1.3       -1.2      277.5      17.64
         39       -1.2       -1.1      302.2      18.42
         40       -1.1         -1      271.6       17.5
         41         -1       -0.9        284      17.76
         42       -0.9       -0.8      330.2      19.16
         43       -0.8       -0.7      294.7      18.17
         44       -0.7       -0.6      333.3      19.13
         45       -0.6       -0.5      365.2      18.86
         46       -0.5       -0.4      351.6      19.79
         47       -0.4       -0.3      351.8      19.96
         48       -0.3       -0.2      327.6      19.18
         49       -0.2       -0.1      352.8      19.86
         50       -0.1          0      357.4      20.04
         51          0        0.1        392      20.72
         52        0.1        0.2      329.1      19.34
         53        0.2        0.3      371.7      20.16
         54        0.3        0.4      353.8      19.88
         55        0.4        0.5      330.2      19.17
         56        0.5        0.6      320.9      17.67
         57        0.6        0.7      349.5      19.82
         58        0.7        0.8      340.9      19.52
         59        0.8        0.9      321.4      18.88
         60        0.9          1      320.8      17.66
         61          1        1.1      301.6      18.54
         62        1.1        1.2      310.5      17.39
         63        1.2        1.3      286.8      18.15
         64        1.3        1.4        251      16.79
         65        1.4        1.5      245.4      16.39
         66        1.5        1.6      257.2      15.83
         67        1.6        1.7      205.3      15.08
         68        1.7        1.8        191      14.75
         69        1.8        1.9      172.7      12.94
         70        1.9          2      138.9      12.41
         71          2        2.1      130.8      12.08
         72        2.1        2.2        107      10.68
         73        2.2        2.3      79.48      9.213
         74        2.3        2.4      42.29      6.375
         75        2.4        2.5      10.18      3.442
