#put your comments after a '#'.
#Variable name: hffixrap
#    RapBin     RapMin     RapMax      Value     Error
         14       -3.7       -3.6  1.277e-07     0.5726
         15       -3.6       -3.5      2.982      1.722
         16       -3.5       -3.4      2.411      2.726
         17       -3.4       -3.3      7.608      3.382
         18       -3.3       -3.2      16.87      4.092
         19       -3.2       -3.1      43.88      7.272
         20       -3.1         -3      48.88      7.409
         21         -3       -2.9      62.48      8.574
         22       -2.9       -2.8         94      10.49
         23       -2.8       -2.7        102      11.14
         24       -2.7       -2.6      99.62      11.01
         25       -2.6       -2.5      75.99      10.27
         26       -2.5       -2.4      65.77      9.354
         27       -2.4       -2.3      59.09      9.471
         28       -2.3       -2.2      47.32      7.917
         29       -2.2       -2.1      41.84       7.21
         30       -2.1         -2      22.01      5.616
         31         -2       -1.9      17.89       4.42
         32       -1.9       -1.8      15.56       4.38
         33       -1.8       -1.7      6.527      3.232
         34       -1.7       -1.6      1.903      1.351
         35       -1.6       -1.5      1.534      1.423
         36       -1.5       -1.4  9.493e-08     0.4965
         37       -1.4       -1.3  1.414e-05     0.5488
         38       -1.3       -1.2       0.21     0.2127
         65        1.4        1.5  7.012e-07     0.5259
         66        1.5        1.6      0.198     0.8488
         67        1.6        1.7     0.9508      1.968
         68        1.7        1.8      6.293      3.084
         69        1.8        1.9      13.55      4.629
         70        1.9          2      28.07      5.578
         71          2        2.1      41.29      6.869
         72        2.1        2.2      39.27      7.529
         73        2.2        2.3      47.21       8.65
         74        2.3        2.4      43.53      7.745
         75        2.4        2.5      39.54      7.765
         76        2.5        2.6      81.18      10.28
         77        2.6        2.7      82.77      10.14
         78        2.7        2.8      107.1       11.3
         79        2.8        2.9      85.76      10.07
         80        2.9          3      56.52      8.155
         81          3        3.1       46.1      7.457
         82        3.1        3.2      38.87      7.037
         83        3.2        3.3      19.74      4.414
         84        3.3        3.4      11.64      3.764
         85        3.4        3.5      6.137      2.967
         86        3.5        3.6       3.98      1.989
