# PtTL_pwg_PythiaUED6T   Mon May  2 10:30:11 2011
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.964199e-02    4.854694e-04
         2       2.5       5.0    6.342160e-02    7.101791e-04
         3       5.0       7.5    5.658013e-02    5.117128e-04
         4       7.5      10.0    4.297184e-02    2.553504e-04
         5      10.0      12.5    3.305224e-02    1.176200e-04
         6      12.5      15.0    2.607763e-02    1.455760e-04
         7      15.0      17.5    2.093321e-02    1.728321e-04
         8      17.5      20.0    1.713195e-02    2.743849e-04
         9      20.0      30.0    1.115098e-02    2.188396e-04
        10      30.0      40.0    6.019211e-03    1.528079e-04
        11      40.0      50.0    3.563982e-03    1.120871e-04
        12      50.0      70.0    1.827581e-03    5.719378e-05
        13      70.0      90.0    7.773401e-04    2.937626e-05
        14      90.0     110.0    3.544305e-04    1.486269e-05
        15     110.0     150.0    1.422553e-04    5.674193e-06
        16     150.0     190.0    4.734815e-05    2.499007e-06
        17     190.0     250.0    1.533809e-05    7.661934e-07
        18     250.0     600.0    1.249585e-06    6.533427e-08
        19     600.0    3500.0    1.038910e-09    1.400866e-10
