# PtTL_pwg_PythiaUEP0   Mon May  2 10:30:07 2011
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.521750e-02    4.853703e-04
         2       2.5       5.0    5.629022e-02    7.100702e-04
         3       5.0       7.5    5.549323e-02    5.116912e-04
         4       7.5      10.0    4.432083e-02    2.554109e-04
         5      10.0      12.5    3.448560e-02    1.177579e-04
         6      12.5      15.0    2.726865e-02    1.456684e-04
         7      15.0      17.5    2.205020e-02    1.729048e-04
         8      17.5      20.0    1.809273e-02    2.744243e-04
         9      20.0      30.0    1.186216e-02    2.188487e-04
        10      30.0      40.0    6.407869e-03    1.528151e-04
        11      40.0      50.0    3.776405e-03    1.120924e-04
        12      50.0      70.0    1.929155e-03    5.719627e-05
        13      70.0      90.0    8.134810e-04    2.937800e-05
        14      90.0     110.0    3.702894e-04    1.486420e-05
        15     110.0     150.0    1.469342e-04    5.674782e-06
        16     150.0     190.0    4.906355e-05    2.499496e-06
        17     190.0     250.0    1.573237e-05    7.664413e-07
        18     250.0     600.0    1.264953e-06    6.535477e-08
        19     600.0    3500.0    1.097097e-09    1.440559e-10
