# PtTL_pwg_PythiaUEProPT0   Mon May  2 10:30:04 2011
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.453542e-02    4.853549e-04
         2       2.5       5.0    5.578450e-02    7.100624e-04
         3       5.0       7.5    5.611755e-02    5.117045e-04
         4       7.5      10.0    4.519842e-02    2.554484e-04
         5      10.0      12.5    3.506498e-02    1.178116e-04
         6      12.5      15.0    2.760265e-02    1.456934e-04
         7      15.0      17.5    2.212953e-02    1.729097e-04
         8      17.5      20.0    1.811024e-02    2.744249e-04
         9      20.0      30.0    1.177968e-02    2.188477e-04
        10      30.0      40.0    6.311504e-03    1.528133e-04
        11      40.0      50.0    3.726372e-03    1.120912e-04
        12      50.0      70.0    1.899766e-03    5.719556e-05
        13      70.0      90.0    8.013369e-04    2.937743e-05
        14      90.0     110.0    3.662087e-04    1.486382e-05
        15     110.0     150.0    1.451218e-04    5.674562e-06
        16     150.0     190.0    4.839039e-05    2.499310e-06
        17     190.0     250.0    1.560677e-05    7.663656e-07
        18     250.0     600.0    1.257955e-06    6.534626e-08
        19     600.0    3500.0    9.835244e-10    1.363903e-10
