# PtTL_pwg_PythiaUEProQ20   Mon May  2 10:30:02 2011
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.911208e-02    4.854574e-04
         2       2.5       5.0    6.259816e-02    7.101663e-04
         3       5.0       7.5    5.719119e-02    5.117258e-04
         4       7.5      10.0    4.322299e-02    2.553611e-04
         5      10.0      12.5    3.303195e-02    1.176180e-04
         6      12.5      15.0    2.599228e-02    1.455694e-04
         7      15.0      17.5    2.093189e-02    1.728319e-04
         8      17.5      20.0    1.715439e-02    2.743858e-04
         9      20.0      30.0    1.119114e-02    2.188401e-04
        10      30.0      40.0    6.053449e-03    1.528085e-04
        11      40.0      50.0    3.575786e-03    1.120874e-04
        12      50.0      70.0    1.841756e-03    5.719411e-05
        13      70.0      90.0    7.819682e-04    2.937647e-05
        14      90.0     110.0    3.591145e-04    1.486312e-05
        15     110.0     150.0    1.434713e-04    5.674338e-06
        16     150.0     190.0    4.822820e-05    2.499248e-06
        17     190.0     250.0    1.570131e-05    7.664092e-07
        18     250.0     600.0    1.253726e-06    6.533913e-08
        19     600.0    3500.0    1.114392e-09    1.450815e-10
