# PtTL_pwg_PythiaUEZ2   Mon May  2 10:29:59 2011
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.457144e-02    4.853555e-04
         2       2.5       5.0    5.520313e-02    7.100531e-04
         3       5.0       7.5    5.648619e-02    5.117120e-04
         4       7.5      10.0    4.594643e-02    2.554799e-04
         5      10.0      12.5    3.558460e-02    1.178588e-04
         6      12.5      15.0    2.779513e-02    1.457072e-04
         7      15.0      17.5    2.214109e-02    1.729100e-04
         8      17.5      20.0    1.802321e-02    2.744212e-04
         9      20.0      30.0    1.166019e-02    2.188461e-04
        10      30.0      40.0    6.246967e-03    1.528121e-04
        11      40.0      50.0    3.679599e-03    1.120900e-04
        12      50.0      70.0    1.880273e-03    5.719508e-05
        13      70.0      90.0    7.937637e-04    2.937706e-05
        14      90.0     110.0    3.625563e-04    1.486347e-05
        15     110.0     150.0    1.433310e-04    5.674339e-06
        16     150.0     190.0    4.794423e-05    2.499183e-06
        17     190.0     250.0    1.557018e-05    7.663405e-07
        18     250.0     600.0    1.240121e-06    6.532434e-08
        19     600.0    3500.0    1.153342e-09    1.476703e-10
