#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    3.365330e-02    7.469609e-05
         2       2.5       5.0    6.186956e-02    1.012797e-04
         3       5.0       7.5    5.236113e-02    9.317266e-05
         4       7.5      10.0    4.009256e-02    8.152971e-05
         5      10.0      12.5    3.136352e-02    7.211016e-05
         6      12.5      15.0    2.532598e-02    6.479883e-05
         7      15.0      17.5    2.071294e-02    5.860098e-05
         8      17.5      20.0    1.723293e-02    5.345195e-05
         9      20.0      30.0    1.154757e-02    2.187758e-05
        10      30.0      40.0    6.472047e-03    1.637853e-05
        11      40.0      50.0    3.881189e-03    1.268342e-05
        12      50.0      70.0    1.995824e-03    6.431321e-06
        13      70.0      90.0    8.701060e-04    4.246441e-06
        14      90.0     110.0    4.080390e-04    2.907970e-06
        15     110.0     150.0    1.520328e-04    1.255141e-06
        16     150.0     190.0    4.505444e-05    6.832707e-07
        17     190.0     250.0    1.293191e-05    2.988888e-07
        18     250.0     600.0    9.189708e-07    3.298913e-08
        19     600.0    3500.0    5.717024e-10    2.858512e-10
