#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.739827e-02    7.213320e-05
         2       2.5       5.0    5.574458e-02    1.028904e-04
         3       5.0       7.5    5.260651e-02    9.995243e-05
         4       7.5      10.0    4.246039e-02    8.979778e-05
         5      10.0      12.5    3.381722e-02    8.013875e-05
         6      12.5      15.0    2.739562e-02    7.212970e-05
         7      15.0      17.5    2.258862e-02    6.549655e-05
         8      17.5      20.0    1.858153e-02    5.940381e-05
         9      20.0      30.0    1.219961e-02    2.406670e-05
        10      30.0      40.0    6.542010e-03    1.762379e-05
        11      40.0      50.0    3.858965e-03    1.353565e-05
        12      50.0      70.0    1.955073e-03    6.812556e-06
        13      70.0      90.0    8.480893e-04    4.486931e-06
        14      90.0     110.0    3.904069e-04    3.044299e-06
        15     110.0     150.0    1.465035e-04    1.318674e-06
        16     150.0     190.0    4.289586e-05    7.135449e-07
        17     190.0     250.0    1.250239e-05    3.145317e-07
        18     250.0     600.0    8.939322e-07    3.482265e-08
        19     600.0    3500.0    6.548611e-10    3.274305e-10
