#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    3.508767e-02    1.195514e-04
         2       2.5       5.0    5.646761e-02    1.516621e-04
         3       5.0       7.5    4.612571e-02    1.370720e-04
         4       7.5      10.0    3.760746e-02    1.237697e-04
         5      10.0      12.5    3.114749e-02    1.126390e-04
         6      12.5      15.0    2.616290e-02    1.032334e-04
         7      15.0      17.5    2.162027e-02    9.384430e-05
         8      17.5      20.0    1.839171e-02    8.655425e-05
         9      20.0      30.0    1.238409e-02    3.551234e-05
        10      30.0      40.0    6.923418e-03    2.655264e-05
        11      40.0      50.0    4.132849e-03    2.051503e-05
        12      50.0      70.0    2.151609e-03    1.046680e-05
        13      70.0      90.0    9.686492e-04    7.022886e-06
        14      90.0     110.0    4.736320e-04    4.910807e-06
        15     110.0     150.0    1.929254e-04    2.216216e-06
        16     150.0     190.0    6.672702e-05    1.303372e-06
        17     190.0     250.0    2.068936e-05    5.925777e-07
        18     250.0     600.0    1.600256e-06    6.823513e-08
        19     600.0    3500.0    1.404613e-09    7.023065e-10
