#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.870002e-02    1.149547e-04
         2       2.5       5.0    5.290064e-02    1.560688e-04
         3       5.0       7.5    4.780912e-02    1.483682e-04
         4       7.5      10.0    3.972613e-02    1.352458e-04
         5      10.0      12.5    3.279378e-02    1.228800e-04
         6      12.5      15.0    2.759405e-02    1.127180e-04
         7      15.0      17.5    2.286075e-02    1.025961e-04
         8      17.5      20.0    1.911877e-02    9.382434e-05
         9      20.0      30.0    1.280409e-02    3.839105e-05
        10      30.0      40.0    6.954226e-03    2.829306e-05
        11      40.0      50.0    4.109064e-03    2.174839e-05
        12      50.0      70.0    2.122389e-03    1.105231e-05
        13      70.0      90.0    9.482145e-04    7.387439e-06
        14      90.0     110.0    4.642366e-04    5.169045e-06
        15     110.0     150.0    1.873119e-04    2.321712e-06
        16     150.0     190.0    6.552608e-05    1.373197e-06
        17     190.0     250.0    2.029764e-05    6.240261e-07
        18     250.0     600.0    1.529312e-06    7.092014e-08
        19     600.0    3500.0    1.587717e-09    7.938586e-10
