#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    4.127046e-02    1.300381e-04
         2       2.5       5.0    6.296629e-02    1.606220e-04
         3       5.0       7.5    4.834616e-02    1.407447e-04
         4       7.5      10.0    3.785738e-02    1.245450e-04
         5      10.0      12.5    3.057354e-02    1.119242e-04
         6      12.5      15.0    2.518389e-02    1.015810e-04
         7      15.0      17.5    2.070345e-02    9.210271e-05
         8      17.5      20.0    1.728012e-02    8.414425e-05
         9      20.0      30.0    1.145832e-02    3.425953e-05
        10      30.0      40.0    6.248137e-03    2.529859e-05
        11      40.0      50.0    3.698055e-03    1.946291e-05
        12      50.0      70.0    1.934611e-03    9.954119e-06
        13      70.0      90.0    8.794941e-04    6.711545e-06
        14      90.0     110.0    4.279160e-04    4.681503e-06
        15     110.0     150.0    1.711408e-04    2.093475e-06
        16     150.0     190.0    5.541653e-05    1.191271e-06
        17     190.0     250.0    1.763564e-05    5.487076e-07
        18     250.0     600.0    1.539429e-06    6.712231e-08
        19     600.0    3500.0    7.064380e-10    4.995271e-10
