#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    3.313011e-02    1.238762e-04
         2       2.5       5.0    5.919019e-02    1.655775e-04
         3       5.0       7.5    5.064631e-02    1.531618e-04
         4       7.5      10.0    4.043451e-02    1.368524e-04
         5      10.0      12.5    3.257105e-02    1.228266e-04
         6      12.5      15.0    2.682665e-02    1.114704e-04
         7      15.0      17.5    2.190625e-02    1.007304e-04
         8      17.5      20.0    1.818411e-02    9.177460e-05
         9      20.0      30.0    1.188227e-02    3.709336e-05
        10      30.0      40.0    6.304851e-03    2.701991e-05
        11      40.0      50.0    3.672233e-03    2.062109e-05
        12      50.0      70.0    1.911963e-03    1.052134e-05
        13      70.0      90.0    8.673686e-04    7.086525e-06
        14      90.0     110.0    4.104962e-04    4.875128e-06
        15     110.0     150.0    1.664565e-04    2.195163e-06
        16     150.0     190.0    5.346872e-05    1.244132e-06
        17     190.0     250.0    1.771676e-05    5.847402e-07
        18     250.0     600.0    1.502037e-06    7.049410e-08
        19     600.0    3500.0    3.992959e-10    3.992959e-10
