#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    3.187452e-02    7.329741e-05
         2       2.5       5.0    5.905790e-02    9.977135e-05
         3       5.0       7.5    5.143463e-02    9.310964e-05
         4       7.5      10.0    4.027093e-02    8.238776e-05
         5      10.0      12.5    3.195374e-02    7.338844e-05
         6      12.5      15.0    2.573754e-02    6.586435e-05
         7      15.0      17.5    2.107708e-02    5.960354e-05
         8      17.5      20.0    1.750698e-02    5.432159e-05
         9      20.0      30.0    1.182581e-02    2.232299e-05
        10      30.0      40.0    6.620214e-03    1.670217e-05
        11      40.0      50.0    4.021354e-03    1.301736e-05
        12      50.0      70.0    2.079720e-03    6.619486e-06
        13      70.0      90.0    9.105175e-04    4.379918e-06
        14      90.0     110.0    4.256568e-04    2.994688e-06
        15     110.0     150.0    1.627263e-04    1.309290e-06
        16     150.0     190.0    5.020740e-05    7.272617e-07
        17     190.0     250.0    1.453760e-05    3.195271e-07
        18     250.0     600.0    9.559302e-07    3.392469e-08
        19     600.0    3500.0    2.906068e-10    2.054900e-10
