#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.590984e-02    7.074308e-05
         2       2.5       5.0    5.344893e-02    1.016064e-04
         3       5.0       7.5    5.157476e-02    9.980911e-05
         4       7.5      10.0    4.244593e-02    9.054607e-05
         5      10.0      12.5    3.427610e-02    8.136681e-05
         6      12.5      15.0    2.778285e-02    7.325546e-05
         7      15.0      17.5    2.280026e-02    6.636230e-05
         8      17.5      20.0    1.879154e-02    6.024664e-05
         9      20.0      30.0    1.243466e-02    2.450409e-05
        10      30.0      40.0    6.709534e-03    1.799980e-05
        11      40.0      50.0    3.992537e-03    1.388500e-05
        12      50.0      70.0    2.041756e-03    7.021154e-06
        13      70.0      90.0    8.829058e-04    4.617042e-06
        14      90.0     110.0    4.096550e-04    3.144964e-06
        15     110.0     150.0    1.566477e-04    1.375161e-06
        16     150.0     190.0    4.827637e-05    7.634118e-07
        17     190.0     250.0    1.421290e-05    3.382106e-07
        18     250.0     600.0    9.147210e-07    3.552482e-08
        19     600.0    3500.0    3.330237e-10    2.354833e-10
