#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    3.048287e-02    4.941271e-05
         2       2.5       5.0    5.839653e-02    6.839183e-05
         3       5.0       7.5    5.204684e-02    6.456659e-05
         4       7.5      10.0    4.136218e-02    5.755889e-05
         5      10.0      12.5    3.282157e-02    5.127320e-05
         6      12.5      15.0    2.634718e-02    4.593860e-05
         7      15.0      17.5    2.146865e-02    4.146800e-05
         8      17.5      20.0    1.778198e-02    3.773990e-05
         9      20.0      30.0    1.177286e-02    1.535400e-05
        10      30.0      40.0    6.456635e-03    1.137061e-05
        11      40.0      50.0    3.855995e-03    8.787168e-06
        12      50.0      70.0    2.004872e-03    4.480319e-06
        13      70.0      90.0    8.936528e-04    2.991232e-06
        14      90.0     110.0    4.301660e-04    2.075314e-06
        15     110.0     150.0    1.750090e-04    9.360109e-07
        16     150.0     190.0    5.654414e-05    5.320403e-07
        17     190.0     250.0    1.760820e-05    2.424167e-07
        18     250.0     600.0    1.370819e-06    2.800507e-08
        19     600.0    3500.0    1.173849e-09    2.847002e-10
