#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5    2.574275e-02    4.826252e-05
         2       2.5       5.0    5.391468e-02    6.984512e-05
         3       5.0       7.5    5.239467e-02    6.885350e-05
         4       7.5      10.0    4.330795e-02    6.259885e-05
         5      10.0      12.5    3.472423e-02    5.605300e-05
         6      12.5      15.0    2.785995e-02    5.020797e-05
         7      15.0      17.5    2.277284e-02    4.539323e-05
         8      17.5      20.0    1.875758e-02    4.119751e-05
         9      20.0      30.0    1.220153e-02    1.661344e-05
        10      30.0      40.0    6.506580e-03    1.213190e-05
        11      40.0      50.0    3.838045e-03    9.317675e-06
        12      50.0      70.0    1.976196e-03    4.727729e-06
        13      70.0      90.0    8.727837e-04    3.141889e-06
        14      90.0     110.0    4.212417e-04    2.182746e-06
        15     110.0     150.0    1.694626e-04    9.789475e-07
        16     150.0     190.0    5.487769e-05    5.570837e-07
        17     190.0     250.0    1.673174e-05    2.511582e-07
        18     250.0     600.0    1.331387e-06    2.933395e-08
        19     600.0    3500.0    1.326038e-09    3.216114e-10
